EntryDate,ExitDate,Asset,Direction,EntryPrice,ExitPrice,StopLoss,Target,PositionSize,Contracts,GrossPnL,TransactionCost,NetPnL
2011-05-13,2011-05-13,6B,Bullish,1.6268,1.6217317285000001,1.622543,1.638371,1.0,1.0,-316.766968749993,7.0,-323.766968749993
2011-05-19,2011-05-20,6B,Bullish,1.6152,1.6257302282500001,1.6112855,1.6265435000000001,1.0,1.0,658.13926562501,7.0,651.13926562501
2011-06-16,2011-06-16,6B,Bullish,1.6181,1.61391214025,1.6147195,1.6290415,1.0,1.0,-261.7412343750014,7.0,-268.7412343750014
2011-06-17,2011-06-17,6B,Bullish,1.6146,1.6102274835000001,1.611033,1.6253010000000003,1.0,1.0,-273.2822812499952,7.0,-280.2822812499952
2011-06-23,2011-06-23,6B,Bullish,1.6031,1.5988651675,1.599665,1.6134050000000002,1.0,1.0,-264.67703124999355,7.0,-271.67703124999355
2011-06-24,2011-06-24,6B,Bullish,1.6005,1.59602508825,1.5968235,1.6115295000000003,1.0,1.0,-279.681984375002,7.0,-286.681984375002
2011-06-29,2011-06-30,6B,Bullish,1.597,1.60622698475,1.5936565,1.6070304999999998,1.0,1.0,576.6865468749966,7.0,569.6865468749966
2011-07-13,2011-07-13,6B,Bullish,1.5916,1.6002159917499998,1.5881945,1.6010164999999998,1.0,1.0,538.4994843749962,7.0,531.4994843749962
2011-07-14,2011-07-14,6B,Bullish,1.6174,1.61307455925,1.6138815,1.6246,1.0,1.0,-270.34004687499777,7.0,-277.34004687499777
2011-08-05,2011-08-05,6B,Bearish,1.6232,1.6280511187499997,1.6272375,1.6114875000000002,1.0,1.0,-303.1949218749857,7.0,-310.1949218749857
2011-09-25,2011-09-26,6B,Bearish,1.5463,1.54920771675,1.5484335,1.5322995,1.0,1.0,-181.73229687500069,7.0,-188.73229687500069
2011-09-28,2011-09-28,6B,Bearish,1.562,1.56682552125,1.5660425,1.5498725000000002,1.0,1.0,-301.5950781249943,7.0,-308.5950781249943
2011-10-04,2011-10-04,6B,Bearish,1.5422,1.5467009639999998,1.545928,1.5316,1.0,1.0,-281.31024999998584,7.0,-288.31024999998584
2011-10-07,2011-10-07,6B,Bearish,1.5427,1.5476174219999999,1.5468439999999999,1.5306680000000001,1.0,1.0,-307.3388749999933,7.0,-314.3388749999933
2011-11-01,2011-11-01,6B,Bullish,1.6068,1.60226496675,1.6030665,1.6158,1.0,1.0,-283.43957812500264,7.0,-290.43957812500264
2011-11-02,2011-11-02,6B,Bearish,1.5932,1.59779900025,1.5970005,1.5821984999999996,1.0,1.0,-287.4375156250025,7.0,-294.4375156250025
2011-12-01,2011-12-01,6B,Bullish,1.57,1.5654888640000002,1.566272,1.5815839999999999,1.0,1.0,-281.9459999999912,7.0,-288.9459999999912
2012-01-19,2012-01-19,6B,Bearish,1.5421,1.5461952112500001,1.5454225000000001,1.5321324999999997,1.0,1.0,-255.95070312500746,7.0,-262.95070312500746
2012-03-07,2012-03-07,6B,Bearish,1.5719,1.5754463294999999,1.574659,1.5641,1.0,1.0,-221.64559374998615,7.0,-228.64559374998615
2012-03-14,2012-03-14,6B,Bearish,1.5704,1.57411016175,1.5733235,1.5616294999999998,1.0,1.0,-231.8851093749963,7.0,-238.8851093749963
2012-04-01,2012-04-02,6B,Bullish,1.6002,1.60444987375,1.598165,1.6052524999999997,1.0,1.0,265.61710937499095,7.0,258.61710937499095
2012-04-04,2012-04-04,6B,Bullish,1.5897,1.586260473,1.587054,1.5976379999999997,1.0,1.0,-214.97043749998946,7.0,-221.97043749998946
2012-07-01,2012-07-02,6B,Bullish,1.5692,1.566230493,1.567014,1.5773,1.0,1.0,-185.5941874999989,7.0,-192.5941874999989
2012-07-29,2012-07-30,6B,Bullish,1.5732,1.569948633,1.570734,1.578399,1.0,1.0,-203.2104374999899,7.0,-210.2104374999899
2012-09-30,2012-10-02,6B,Bearish,1.6154,1.6189435672499999,1.6181345,1.6095965000000003,1.0,1.0,-221.47295312499594,7.0,-228.47295312499594
2012-10-26,2012-10-26,6B,Bearish,1.6116,1.6145463697499998,1.6137394999999999,1.6047815,1.0,1.0,-184.14810937499027,7.0,-191.14810937499027
2012-12-07,2012-12-07,6B,Bullish,1.6049,1.6024473755,1.603249,1.6094530000000002,1.0,1.0,-153.2890312500035,7.0,-160.2890312500035
2012-12-09,2012-12-10,6B,Bullish,1.6029,1.6072929514999998,1.601701,1.6080969999999997,1.0,1.0,274.5594687499908,7.0,267.5594687499908
2012-12-13,2012-12-13,6B,Bullish,1.6137,1.6110965487500002,1.6119025,1.6182924999999997,1.0,1.0,-162.7157031249826,7.0,-169.7157031249826
2012-12-14,2012-12-14,6B,Bullish,1.6112,1.6156262827500003,1.6095884999999999,1.6164345000000002,1.0,1.0,276.64267187502145,7.0,269.64267187502145
2013-01-04,2013-01-04,6B,Bullish,1.6072,1.60419400175,1.6049965,1.6138105,1.0,1.0,-187.87489062499498,7.0,-194.87489062499498
2013-01-08,2013-01-08,6B,Bullish,1.6116,1.608285455,1.60909,1.61953,1.0,1.0,-207.15906249998972,7.0,-214.15906249998972
2013-01-10,2013-01-10,6B,Bullish,1.601,1.6080705625000005,1.5983749999999999,1.6088750000000003,1.0,1.0,441.91015625003047,7.0,434.91015625003047
2013-01-11,2013-01-11,6B,Bullish,1.6159,1.61255481925,1.6133615000000001,1.6239155,1.0,1.0,-209.07379687498673,7.0,-216.07379687498673
2013-01-13,2013-01-14,6B,Bullish,1.6129,1.6087347302500001,1.6095395000000001,1.6209814999999999,1.0,1.0,-260.32935937499167,7.0,-267.32935937499167
2013-01-15,2013-01-15,6B,Bullish,1.6072,1.6035928025000001,1.604395,1.6156149999999998,1.0,1.0,-225.4498437499891,7.0,-232.4498437499891
2013-01-16,2013-01-16,6B,Bullish,1.6069,1.60320149825,1.6040035,1.6155895000000002,1.0,1.0,-231.1563593749982,7.0,-238.1563593749982
2013-01-17,2013-01-17,6B,Bullish,1.599,1.595279961,1.5960779999999999,1.6077660000000003,1.0,1.0,-232.502437500004,7.0,-239.502437500004
