Asset,Sector
6B,FX
6C,FX
6E,FX
6J,FX
6M,FX
6N,FX
6S,FX
CL,Energy
GC,Metals
GF,Agriculture
HE,Agriculture
HG,Metals
KE,Agriculture
LE,Agriculture
MES,Equities
MNQ,Equities
MYM,Equities
PL,Metals
RB,Energy
RTY,Equities
SI,Metals
UB,Interest Rate
ZC,Agriculture
ZL,Agriculture
ZM,Agriculture
ZN,Interest Rate
ZR,Agriculture
ZS,Agriculture
ZW,Agriculture
